300
m; Acima de 60 anos; Ensino médio completo; Região Sul; Tablet; Alimentação
o; Acima de 60 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Cultura
f; De 16 a 29 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Extremo Leste; Smartphone; Cultura
m; Acima de 60 anos; Ensino fundamental completo; Região Sul; Nenhuma; Educação
m; De 30 a 59 anos; Ensino fundamental completo; Região Extremo Leste; Computador Pessoal; Educação
m; Até 15 anos; Ensino médio incompleto; Região Extremo Oeste; Computador Pessoal; Cultura
f; De 16 a 29 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Nenhuma; Educação
f; Acima de 60 anos; Ensino superior completo; Região Norte; Smartphone; Alimentação
f; De 30 a 59 anos; Ensino superior completo; Região Sul; Tablet; Alimentação
f; De 30 a 59 anos; Ensino médio completo; Região Sul; Computador Pessoal; Alimentação
o; De 16 a 29 anos; Ensino médio completo; Região Extremo Leste; Nenhuma; Educação
f; Acima de 60 anos; Ensino médio incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
m; De 30 a 59 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Alimentação
o; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Smartphone; Cultura
m; De 30 a 59 anos; Ensino médio completo; Região Leste/Ibirapuitã; Smartphone; Cultura
f; Acima de 60 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Nenhuma; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Computador Pessoal; Alimentação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
m; Acima de 60 anos; Ensino superior completo; Região Norte; Computador Pessoal; Alimentação
f; Acima de 60 anos; Ensino superior incompleto; Região Cidade Alta/Aguateiros; Smartphone; Cultura
f; Acima de 60 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Alimentação
m; De 16 a 29 anos; Ensino superior incompleto; Região Norte; Tablet; Cultura
f; Até 15 anos; Ensino médio incompleto; Região Norte; Nenhuma; Alimentação
f; De 30 a 59 anos; Ensino médio incompleto; Região Sul; Smartphone; Cultura
m; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Leste; Computador Pessoal; Cultura
o; Até 15 anos; Ensino fundamental incompleto; Região Extremo Oeste; Notebook ou Netbook; Educação
m; Acima de 60 anos; Ensino superior completo; Região Oeste/Regalado; Nenhuma; Cultura
o; De 16 a 29 anos; Ensino médio incompleto; Região Sul; Smartphone; Educação
m; De 30 a 59 anos; Ensino superior incompleto; Região Norte; Smartphone; Cultura
f; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Leste; Nenhuma; Alimentação
f; Acima de 60 anos; Ensino médio incompleto; Região Sul; Notebook ou Netbook; Cultura
o; Acima de 60 anos; Ensino superior completo; Região Extremo Leste; Nenhuma; Educação
m; Acima de 60 anos; Ensino superior incompleto; Região Norte; Smartphone; Alimentação
m; De 16 a 29 anos; Ensino superior completo; Região Norte; Smartphone; Cultura
o; Acima de 60 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Smartphone; Cultura
m; Até 15 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino médio completo; Região Extremo Leste; Tablet; Cultura
f; Até 15 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Nenhuma; Cultura
f; Acima de 60 anos; Ensino fundamental incompleto; Região Norte; Tablet; Alimentação
o; De 16 a 29 anos; Ensino superior completo; Região Norte; Nenhuma; Educação
f; De 30 a 59 anos; Ensino superior completo; Região Oeste/Regalado; Smartphone; Educação
f; Acima de 60 anos; Ensino fundamental completo; Região Oeste/Regalado; Smartphone; Alimentação
o; Acima de 60 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Alimentação
m; Até 15 anos; Ensino médio incompleto; Região Norte; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Leste; Smartphone; Educação
m; Acima de 60 anos; Ensino superior completo; Região Sul; Notebook ou Netbook; Cultura
o; De 30 a 59 anos; Ensino fundamental incompleto; Região Extremo Oeste; Tablet; Alimentação
o; De 16 a 29 anos; Ensino médio incompleto; Região Oeste/Regalado; Nenhuma; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Norte; Computador Pessoal; Alimentação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; Acima de 60 anos; Ensino fundamental incompleto; Região Norte; Nenhuma; Cultura
m; Acima de 60 anos; Ensino fundamental incompleto; Região Sul; Tablet; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Extremo Oeste; Notebook ou Netbook; Cultura
m; De 16 a 29 anos; Ensino médio completo; Região Extremo Oeste; Nenhuma; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Tablet; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Leste; Notebook ou Netbook; Educação
m; De 16 a 29 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Smartphone; Alimentação
m; Acima de 60 anos; Ensino médio incompleto; Região Extremo Oeste; Tablet; Alimentação
o; Acima de 60 anos; Ensino médio incompleto; Região Extremo Leste; Notebook ou Netbook; Alimentação
o; Até 15 anos; Ensino superior incompleto; Região Sul; Notebook ou Netbook; Cultura
f; De 30 a 59 anos; Ensino superior completo; Região Sul; Computador Pessoal; Educação
f; Acima de 60 anos; Ensino superior incompleto; Região Extremo Oeste; Notebook ou Netbook; Educação
m; De 30 a 59 anos; Ensino fundamental completo; Região Norte; Nenhuma; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Extremo Leste; Nenhuma; Educação
m; De 30 a 59 anos; Ensino médio completo; Região Norte; Computador Pessoal; Cultura
m; De 16 a 29 anos; Ensino médio incompleto; Região Norte; Notebook ou Netbook; Alimentação
m; Até 15 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Tablet; Cultura
m; Acima de 60 anos; Ensino superior completo; Região Oeste/Regalado; Computador Pessoal; Cultura
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Smartphone; Cultura
m; De 30 a 59 anos; Ensino superior completo; Região Leste/Ibirapuitã; Computador Pessoal; Alimentação
o; De 30 a 59 anos; Ensino médio completo; Região Sul; Computador Pessoal; Cultura
o; Acima de 60 anos; Ensino fundamental completo; Região Oeste/Regalado; Nenhuma; Cultura
m; De 16 a 29 anos; Ensino médio completo; Região Oeste/Regalado; Smartphone; Educação
f; Acima de 60 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Smartphone; Educação
m; De 30 a 59 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; Acima de 60 anos; Ensino médio incompleto; Região Extremo Oeste; Nenhuma; Cultura
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Sul; Smartphone; Alimentação
m; Até 15 anos; Ensino fundamental completo; Região Extremo Oeste; Notebook ou Netbook; Alimentação
m; De 30 a 59 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Tablet; Educação
m; Até 15 anos; Ensino fundamental incompleto; Região Extremo Leste; Nenhuma; Cultura
o; Acima de 60 anos; Ensino superior incompleto; Região Extremo Leste; Notebook ou Netbook; Cultura
o; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Notebook ou Netbook; Educação
m; De 16 a 29 anos; Ensino médio completo; Região Extremo Leste; Notebook ou Netbook; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Norte; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Extremo Leste; Computador Pessoal; Educação
f; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Computador Pessoal; Alimentação
o; Acima de 60 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Tablet; Alimentação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Sul; Smartphone; Alimentação
o; Acima de 60 anos; Ensino médio incompleto; Região Extremo Oeste; Smartphone; Alimentação
o; Até 15 anos; Ensino superior completo; Região Leste/Ibirapuitã; Smartphone; Educação
m; Acima de 60 anos; Ensino médio completo; Região Extremo Oeste; Computador Pessoal; Cultura
m; Até 15 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Smartphone; Cultura
m; Até 15 anos; Ensino superior incompleto; Região Sul; Tablet; Educação
o; Até 15 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Alimentação
f; De 16 a 29 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Educação
o; De 30 a 59 anos; Ensino superior incompleto; Região Norte; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino superior completo; Região Norte; Smartphone; Cultura
o; Até 15 anos; Ensino fundamental incompleto; Região Extremo Oeste; Notebook ou Netbook; Educação
f; Até 15 anos; Ensino médio incompleto; Região Extremo Oeste; Nenhuma; Educação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Extremo Oeste; Tablet; Educação
o; Acima de 60 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Nenhuma; Alimentação
o; Acima de 60 anos; Ensino fundamental incompleto; Região Extremo Oeste; Tablet; Educação
o; De 30 a 59 anos; Ensino superior completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Alimentação
m; Até 15 anos; Ensino médio completo; Região Extremo Oeste; Nenhuma; Educação
f; Acima de 60 anos; Ensino superior incompleto; Região Oeste/Regalado; Computador Pessoal; Alimentação
o; Acima de 60 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
m; De 30 a 59 anos; Ensino fundamental completo; Região Oeste/Regalado; Smartphone; Alimentação
f; De 30 a 59 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Cultura
f; Acima de 60 anos; Ensino superior incompleto; Região Extremo Leste; Nenhuma; Alimentação
o; De 30 a 59 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Cultura
o; De 16 a 29 anos; Ensino médio incompleto; Região Sul; Notebook ou Netbook; Alimentação
o; Até 15 anos; Ensino superior incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
o; Acima de 60 anos; Ensino médio completo; Região Extremo Leste; Tablet; Cultura
o; De 30 a 59 anos; Ensino fundamental completo; Região Extremo Leste; Nenhuma; Alimentação
f; Acima de 60 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Alimentação
m; Até 15 anos; Ensino superior completo; Região Extremo Oeste; Tablet; Cultura
o; De 30 a 59 anos; Ensino médio completo; Região Sul; Smartphone; Cultura
f; De 30 a 59 anos; Ensino superior incompleto; Região Norte; Smartphone; Alimentação
o; Acima de 60 anos; Ensino fundamental completo; Região Oeste/Regalado; Nenhuma; Educação
m; De 30 a 59 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Cultura
m; Acima de 60 anos; Ensino médio completo; Região Extremo Leste; Computador Pessoal; Alimentação
o; De 16 a 29 anos; Ensino médio incompleto; Região Extremo Leste; Nenhuma; Cultura
o; Até 15 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Cultura
m; Acima de 60 anos; Ensino fundamental completo; Região Sul; Nenhuma; Cultura
o; De 30 a 59 anos; Ensino médio completo; Região Extremo Leste; Smartphone; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Leste; Tablet; Cultura
m; Até 15 anos; Ensino superior incompleto; Região Extremo Oeste; Nenhuma; Cultura
o; Acima de 60 anos; Ensino médio completo; Região Cidade Alta/Aguateiros; Nenhuma; Cultura
m; Até 15 anos; Ensino superior completo; Região Extremo Oeste; Computador Pessoal; Educação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Norte; Nenhuma; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Sul; Computador Pessoal; Educação
o; Acima de 60 anos; Ensino fundamental completo; Região Sul; Smartphone; Educação
o; De 30 a 59 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Nenhuma; Alimentação
m; De 30 a 59 anos; Ensino superior incompleto; Região Extremo Oeste; Computador Pessoal; Alimentação
m; Acima de 60 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
m; De 30 a 59 anos; Ensino médio incompleto; Região Extremo Leste; Notebook ou Netbook; Educação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Norte; Notebook ou Netbook; Alimentação
o; Até 15 anos; Ensino fundamental incompleto; Região Extremo Oeste; Notebook ou Netbook; Educação
f; De 16 a 29 anos; Ensino médio completo; Região Norte; Smartphone; Cultura
f; De 30 a 59 anos; Ensino superior completo; Região Norte; Notebook ou Netbook; Educação
f; Até 15 anos; Ensino superior completo; Região Norte; Nenhuma; Cultura
o; De 30 a 59 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Computador Pessoal; Educação
m; De 16 a 29 anos; Ensino superior completo; Região Sul; Nenhuma; Cultura
m; De 30 a 59 anos; Ensino médio completo; Região Norte; Computador Pessoal; Cultura
m; De 16 a 29 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Nenhuma; Alimentação
o; Até 15 anos; Ensino superior completo; Região Sul; Tablet; Alimentação
m; De 30 a 59 anos; Ensino médio completo; Região Norte; Smartphone; Alimentação
o; Acima de 60 anos; Ensino superior incompleto; Região Oeste/Regalado; Nenhuma; Alimentação
f; De 30 a 59 anos; Ensino médio completo; Região Leste/Ibirapuitã; Smartphone; Educação
m; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Oeste; Nenhuma; Cultura
o; Acima de 60 anos; Ensino superior completo; Região Oeste/Regalado; Notebook ou Netbook; Educação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Extremo Leste; Computador Pessoal; Educação
o; Acima de 60 anos; Ensino médio incompleto; Região Oeste/Regalado; Smartphone; Cultura
f; Até 15 anos; Ensino médio completo; Região Extremo Leste; Tablet; Alimentação
f; De 16 a 29 anos; Ensino superior incompleto; Região Cidade Alta/Aguateiros; Nenhuma; Alimentação
o; Até 15 anos; Ensino superior incompleto; Região Sul; Smartphone; Cultura
o; De 16 a 29 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Smartphone; Alimentação
f; Até 15 anos; Ensino fundamental completo; Região Norte; Nenhuma; Cultura
m; De 16 a 29 anos; Ensino superior incompleto; Região Extremo Leste; Nenhuma; Cultura
m; Até 15 anos; Ensino superior completo; Região Norte; Nenhuma; Educação
o; Acima de 60 anos; Ensino médio completo; Região Oeste/Regalado; Notebook ou Netbook; Cultura
f; Até 15 anos; Ensino superior completo; Região Norte; Smartphone; Cultura
f; De 30 a 59 anos; Ensino superior completo; Região Norte; Smartphone; Cultura
f; De 16 a 29 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
f; De 30 a 59 anos; Ensino fundamental completo; Região Extremo Oeste; Nenhuma; Alimentação
f; Até 15 anos; Ensino médio incompleto; Região Norte; Computador Pessoal; Educação
m; De 16 a 29 anos; Ensino médio incompleto; Região Oeste/Regalado; Computador Pessoal; Educação
o; De 30 a 59 anos; Ensino fundamental completo; Região Sul; Nenhuma; Educação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Tablet; Educação
f; Até 15 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Tablet; Cultura
m; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Notebook ou Netbook; Alimentação
f; Acima de 60 anos; Ensino fundamental completo; Região Extremo Oeste; Smartphone; Cultura
f; Acima de 60 anos; Ensino fundamental incompleto; Região Sul; Smartphone; Educação
f; De 30 a 59 anos; Ensino superior completo; Região Norte; Tablet; Alimentação
f; De 30 a 59 anos; Ensino médio incompleto; Região Extremo Oeste; Notebook ou Netbook; Educação
m; De 30 a 59 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Nenhuma; Alimentação
m; De 16 a 29 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Smartphone; Cultura
f; Acima de 60 anos; Ensino fundamental completo; Região Extremo Oeste; Computador Pessoal; Educação
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Oeste/Regalado; Computador Pessoal; Educação
f; De 30 a 59 anos; Ensino médio completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Educação
f; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Oeste; Smartphone; Educação
o; Acima de 60 anos; Ensino superior completo; Região Extremo Leste; Tablet; Alimentação
o; Até 15 anos; Ensino superior completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
m; De 16 a 29 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
o; Até 15 anos; Ensino fundamental incompleto; Região Cidade Alta/Aguateiros; Computador Pessoal; Educação
f; Acima de 60 anos; Ensino médio incompleto; Região Oeste/Regalado; Notebook ou Netbook; Alimentação
o; De 30 a 59 anos; Ensino fundamental completo; Região Extremo Oeste; Smartphone; Cultura
m; Até 15 anos; Ensino médio completo; Região Oeste/Regalado; Nenhuma; Alimentação
o; Até 15 anos; Ensino médio incompleto; Região Sul; Smartphone; Educação
o; Acima de 60 anos; Ensino médio incompleto; Região Norte; Tablet; Alimentação
m; De 30 a 59 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Computador Pessoal; Alimentação
m; Até 15 anos; Ensino fundamental incompleto; Região Oeste/Regalado; Notebook ou Netbook; Alimentação
f; Até 15 anos; Ensino superior incompleto; Região Norte; Tablet; Educação
o; Acima de 60 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino médio completo; Região Norte; Computador Pessoal; Cultura
f; Até 15 anos; Ensino superior incompleto; Região Extremo Leste; Notebook ou Netbook; Educação
o; Acima de 60 anos; Ensino médio incompleto; Região Extremo Leste; Notebook ou Netbook; Alimentação
m; Até 15 anos; Ensino médio incompleto; Região Cidade Alta/Aguateiros; Tablet; Educação
m; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Oeste; Smartphone; Cultura
f; De 16 a 29 anos; Ensino fundamental completo; Região Cidade Alta/Aguateiros; Tablet; Cultura
o; De 30 a 59 anos; Ensino fundamental completo; Região Sul; Computador Pessoal; Cultura
o; Até 15 anos; Ensino médio incompleto; Região Extremo Oeste; Nenhuma; Alimentação
m; Acima de 60 anos; Ensino médio incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Norte; Nenhuma; Cultura
o; Até 15 anos; Ensino superior completo; Região Oeste/Regalado; Nenhuma; Cultura
o; Acima de 60 anos; Ensino superior completo; Região Norte; Tablet; Cultura
m; De 30 a 59 anos; Ensino superior completo; Região Extremo Leste; Tablet; Educação
f; Acima de 60 anos; Ensino fundamental completo; Região Leste/Ibirapuitã; Notebook ou Netbook; Alimentação
m; De 16 a 29 anos; Ensino médio completo; Região Norte; Notebook ou Netbook; Educação
o; Até 15 anos; Ensino médio completo; Região Norte; Nenhuma; Educação
o; Acima de 60 anos; Ensino fundamental completo; Região Extremo Oeste; Notebook ou Netbook; Cultura
m; Acima de 60 anos; Ensino médio incompleto; Região Extremo Oeste; Notebook ou Netbook; Cultura
f; De 16 a 29 anos; Ensino superior incompleto; Região Leste/Ibirapuitã; Computador Pessoal; Cultura
m; De 30 a 59 anos; Ensino médio incompleto; Região Sul; Smartphone; Cultura
m; Acima de 60 anos; Ensino superior completo; Região Cidade Alta/Aguateiros; Notebook ou Netbook; Alimentação
f; De 30 a 59 anos; Ensino fundamental incompleto; Região Leste/Ibirapuitã; Notebook ou Netbook; Alimentação
o; De 16 a 29 anos; Ensino fundamental completo; Região Extremo Leste; Notebook ou Netbook; Cultura
o; Até 15 anos; Ensino fundamental incompleto; Região Extremo Oeste; Tablet; Alimentação
o; Até 15 anos; Ensino médio completo; Região Sul; Nenhuma; Alimentação
o; De 30 a 59 anos; Ensino fundamental incompleto; Região Extremo Oeste; Nenhuma; Alimentação
m; De 30 a 59 anos; Ensino superior completo; Região Sul; Nenhuma; Cultura
